Algorithm,Problem,N_Var,Population_Size,Max_Iteration,Opt_Val,Runtime
PSO,Rastrigin,4,10,10000,29.603892762942646,2.5285227298736572
PSO,Rastrigin,2,10,10000,16.11956905920871,2.6925418376922607
PSO,Rastrigin,4,10,10000,45.043048194607564,2.470064401626587
PSO,Rastrigin,2,10,10000,3.6271311770434878,2.644279956817627
PSO,Rastrigin,4,10,10000,25.177895108247107,2.9275333881378174
PSO,Rastrigin,2,10,10000,19.232638096605637,2.8132736682891846
PSO,Rastrigin,4,10,10000,19.68378713624746,2.676997661590576
PSO,Rastrigin,2,10,10000,15.809696091501058,2.566697835922241
PSO,Rastrigin,2,50,10000,6.196032935465727,12.660467386245728
PSO,Rastrigin,4,50,10000,20.837932733953842,13.470690250396729
PSO,Rastrigin,4,10,10000,29.24434187538433,2.5281307697296143
PSO,Rastrigin,2,10,10000,6.159643493270689,2.5395615100860596
PSO,Rastrigin,4,10,10000,39.530318135465286,2.5845110416412354
PSO,Rastrigin,2,10,10000,18.468436326077235,2.5676233768463135
PSO,Rastrigin,4,10,10000,26.859531748179464,2.5780136585235596
PSO,Rastrigin,2,10,10000,5.866073042546878,2.6718316078186035
PSO,Rastrigin,2,10,10000,5.335207407272701,2.5699353218078613
PSO,Rastrigin,4,10,10000,26.52204374544519,2.742299795150757
PSO,Rastrigin,2,10,10000,10.488361835283577,3.3711843490600586
PSO,Rastrigin,4,10,10000,22.07326504312129,3.4595587253570557
PSO,Rastrigin,2,50,10000,6.702601229012979,14.121953248977661
PSO,Rastrigin,4,50,10000,20.867884730319883,14.027095556259155
PSO,Rastrigin,2,10,10000,3.5056941958387853,2.778956890106201
PSO,Rastrigin,4,50,10000,8.99644488072834,13.81311559677124
PSO,Rastrigin,2,50,10000,2.7776835221456224,14.041048288345337
PSO,Rastrigin,2,50,10000,2.5302298076054086,13.881617546081543
PSO,Rastrigin,4,50,10000,21.609979001679022,14.518083333969116
PSO,Rastrigin,4,100,10000,19.56226411780268,28.58191704750061
PSO,Rastrigin,2,50,10000,7.966328152238386,13.887984037399292
PSO,Rastrigin,4,50,10000,19.007291611492917,13.062488079071045
PSO,Rastrigin,2,100,10000,1.0088863176596163,27.293835401535034
PSO,Rastrigin,2,50,10000,2.306993146349008,13.263046026229858
PSO,Rastrigin,4,50,10000,15.538975420053227,12.512541770935059
PSO,Rastrigin,4,100,10000,16.19951825971901,26.02617859840393
PSO,Rastrigin,2,50,10000,3.3913665923744816,12.295487403869629
PSO,Rastrigin,4,50,10000,24.963339085060078,12.545971632003784
PSO,Rastrigin,2,100,10000,2.1540025073559868,26.325864553451538
PSO,Rastrigin,2,50,10000,2.5761650126075075,12.963194370269775
PSO,Rastrigin,4,50,10000,12.836437827983605,12.178315162658691
PSO,Rastrigin,4,100,10000,20.1357358349006,26.426671028137207
PSO,Rastrigin,2,50,10000,7.633615780845503,12.979791164398193
PSO,Rastrigin,4,50,10000,19.435681410973363,12.929660081863403
PSO,Rastrigin,2,100,10000,6.052099580266361,24.791545629501343
PSO,Rastrigin,2,50,10000,7.458340145862623,12.379212379455566
PSO,Rastrigin,10,10,10000,96.77802593982709,2.685394525527954
PSO,Rastrigin,10,10,10000,91.40611559519748,2.6358859539031982
PSO,Rastrigin,10,10,10000,80.08255042419871,2.619239568710327
PSO,Rastrigin,4,50,10000,26.563504750445077,12.962831020355225
PSO,Rastrigin,10,10,10000,88.39107229330847,2.769423723220825
PSO,Rastrigin,2,500,10000,1.9701271256704374,135.16851210594177
PSO,Rastrigin,4,500,10000,6.684745378062814,135.75497436523438
PSO,Rastrigin,4,100,10000,14.722529416118782,26.309839963912964
PSO,Rastrigin,10,10,10000,101.00118124695108,2.6186506748199463
PSO,Rastrigin,10,10,10000,88.06638837063488,2.685983419418335
PSO,Rastrigin,10,10,10000,86.12932643863792,2.685892105102539
PSO,Rastrigin,10,10,10000,99.44079301667267,2.684852123260498
PSO,Rastrigin,10,50,10000,85.70939620456302,13.347443342208862
PSO,Rastrigin,2,100,10000,2.25979436926162,26.610369205474854
PSO,Rastrigin,10,50,10000,91.60416670813028,13.330371618270874
PSO,Rastrigin,4,100,10000,18.130298906646008,27.060932159423828
PSO,Rastrigin,10,50,10000,74.75015154089789,13.346812009811401
PSO,Rastrigin,10,100,10000,77.81846525910586,26.4267680644989
PSO,Rastrigin,2,100,10000,3.7863219738997067,26.02629590034485
PSO,Rastrigin,10,50,10000,72.74101617501748,12.746161460876465
PSO,Rastrigin,4,100,10000,13.428631414144604,24.89181423187256
PSO,Rastrigin,10,50,10000,88.18820295682936,13.51365613937378
PSO,Rastrigin,10,100,10000,64.49118946816611,26.91053795814514
PSO,Rastrigin,2,100,10000,2.1190936155509164,26.993988275527954
PSO,Rastrigin,10,50,10000,91.13893679513438,13.229100227355957
PSO,Rastrigin,4,100,10000,18.044787938785323,26.376710653305054
PSO,Rastrigin,2,100,10000,2.069359824937564,24.674907207489014
PSO,Rastrigin,10,50,10000,57.25503839126184,13.17971134185791
PSO,Rastrigin,10,100,10000,67.45787314056005,26.275943756103516
PSO,Rastrigin,10,50,10000,80.69128261241981,13.380151987075806
PSO,Rastrigin,4,100,10000,24.57797334821396,26.359943628311157
PSO,Rastrigin,2,100,10000,1.108928988207488,26.459317207336426
PSO,Rastrigin,10,50,10000,72.43094530656856,13.296549081802368
PSO,Rastrigin,10,100,10000,57.29117114464687,26.860376358032227
PSO,Rastrigin,4,500,10000,11.643345376717988,124.60946822166443
PSO,Rastrigin,10,50,10000,71.62649632880533,13.413024663925171
