Algorithm,Problem,N_Var,Population_Size,Max_Iteration,Opt_Val,Runtime
PSO,Rastrigin,2,50,1000,3.9413556901851194,1.1131701469421387
PSO,Rastrigin,2,50,1000,1.5693467729455648,1.0697078704833984
PSO,Rastrigin,2,50,1000,1.0036663650542685,1.1602716445922852
PSO,Rastrigin,2,50,1000,3.798763742793575,1.1716642379760742
PSO,Rastrigin,2,50,1000,3.1082900335744448,1.1535139083862305
PSO,Rastrigin,2,50,1000,1.9899181142455475,1.0872783660888672
PSO,Rastrigin,2,50,1000,3.301817227378983,1.087899923324585
PSO,Rastrigin,2,50,1000,1.1625089614264859,1.1915736198425293
PSO,Rastrigin,2,50,1000,4.836536752165381,1.1466147899627686
PSO,Rastrigin,2,50,1000,2.222793708568979,1.1772453784942627
PSO,Rastrigin,2,50,1000,1.0361911614143935,1.1759850978851318
PSO,Rastrigin,2,50,1000,8.354561487067258e-11,1.092090368270874
PSO,Rastrigin,2,50,1000,1.5667880670222516,1.0856471061706543
PSO,Rastrigin,2,50,1000,3.212678256118217,1.1126086711883545
PSO,Rastrigin,2,50,1000,1.1309506521016104,1.1076774597167969
PSO,Rastrigin,2,50,1000,1.4198335069979109,1.153956413269043
PSO,Rastrigin,2,50,1000,1.9309091842360289,1.1458582878112793
PSO,Rastrigin,2,50,1000,1.3523860862097337,1.1518330574035645
PSO,Rastrigin,2,50,1000,0.9988517102022882,1.1924331188201904
PSO,Rastrigin,2,50,1000,4.974790247647377,1.100837230682373
PSO,Rastrigin,5,50,1000,29.580132804532685,1.0976572036743164
PSO,Rastrigin,5,50,1000,24.540192200885645,1.1507210731506348
PSO,Rastrigin,5,50,1000,32.72109700413803,1.2016592025756836
PSO,Rastrigin,5,50,1000,32.385776125963744,1.1416404247283936
PSO,Rastrigin,5,50,1000,28.170865539192658,1.1302881240844727
PSO,Rastrigin,5,50,1000,30.042834237507183,1.0831470489501953
PSO,Rastrigin,5,50,1000,36.298651484410115,1.0933923721313477
PSO,Rastrigin,5,50,1000,35.402524807428314,1.0830211639404297
PSO,Rastrigin,5,50,1000,45.1646484338461,1.1185505390167236
PSO,Rastrigin,5,50,1000,32.53687502986465,1.1048057079315186
PSO,Rastrigin,5,50,1000,31.82084372306211,1.1481349468231201
PSO,Rastrigin,5,50,1000,37.90995495540047,1.1285240650177002
PSO,Rastrigin,5,50,1000,30.6845394351759,1.331094741821289
PSO,Rastrigin,5,50,1000,37.63165050083852,1.18552827835083
PSO,Rastrigin,5,50,1000,34.97363602734302,1.105583906173706
PSO,Rastrigin,5,50,1000,30.1233711813846,1.1279375553131104
PSO,Rastrigin,5,50,1000,22.13283018805114,1.113664150238037
PSO,Rastrigin,5,50,1000,29.0927010196504,1.2564585208892822
PSO,Rastrigin,5,50,1000,27.337627309189486,1.2923696041107178
PSO,Rastrigin,5,50,1000,26.16921467150796,1.1887719631195068
PSO,Rastrigin,10,50,1000,92.30629386818964,1.177039623260498
PSO,Rastrigin,10,50,1000,102.0128579696769,1.2301945686340332
PSO,Rastrigin,10,50,1000,86.21745726211476,1.141333818435669
PSO,Rastrigin,10,50,1000,90.52189040535688,1.161381721496582
PSO,Rastrigin,10,50,1000,91.45077929031193,1.1866378784179688
PSO,Rastrigin,10,50,1000,96.16647606137876,1.1299681663513184
PSO,Rastrigin,10,50,1000,93.58366266411899,1.1316540241241455
PSO,Rastrigin,10,50,1000,106.42627189201212,1.1689534187316895
PSO,Rastrigin,10,50,1000,86.25439823065761,1.1205120086669922
PSO,Rastrigin,10,50,1000,89.20710674968501,1.1379115581512451
PSO,Rastrigin,10,50,1000,74.12425561928796,1.182041883468628
PSO,Rastrigin,10,50,1000,82.73710310739034,1.121751308441162
PSO,Rastrigin,10,50,1000,87.11095365090078,1.1570782661437988
PSO,Rastrigin,10,50,1000,77.58122281387841,1.1417810916900635
PSO,Rastrigin,10,50,1000,97.56347884877646,1.1580252647399902
PSO,Rastrigin,10,50,1000,91.21216256648032,1.1506118774414062
PSO,Rastrigin,10,50,1000,101.41664065826639,1.1479132175445557
PSO,Rastrigin,10,50,1000,106.6662122814006,1.1365737915039062
PSO,Rastrigin,10,50,1000,84.07460268222995,1.1235995292663574
PSO,Rastrigin,10,50,1000,101.32903563460458,1.1499295234680176
PSO,Rastrigin,30,50,1000,381.05123848315634,1.1822199821472168
PSO,Rastrigin,30,50,1000,339.42328652110496,1.1572761535644531
PSO,Rastrigin,30,50,1000,367.29181900866024,1.1581239700317383
PSO,Rastrigin,30,50,1000,386.9905697397355,1.196415662765503
PSO,Rastrigin,30,50,1000,385.6626441240008,1.1329171657562256
PSO,Rastrigin,30,50,1000,372.09448649255205,1.1378209590911865
PSO,Rastrigin,30,50,1000,338.67095393482924,1.1814708709716797
PSO,Rastrigin,30,50,1000,340.22486104670196,1.1618330478668213
PSO,Rastrigin,30,50,1000,355.66323012167993,1.124455451965332
PSO,Rastrigin,30,50,1000,350.4246301576916,1.116774559020996
PSO,Rastrigin,30,50,1000,367.8303080814564,1.1416845321655273
PSO,Rastrigin,30,50,1000,356.0449503807662,1.164734125137329
PSO,Rastrigin,30,50,1000,327.17253726878647,1.1416363716125488
PSO,Rastrigin,30,50,1000,387.7955956713146,1.165642261505127
PSO,Rastrigin,30,50,1000,362.8170678261547,1.1819250583648682
PSO,Rastrigin,30,50,1000,353.4555530837762,1.221229076385498
PSO,Rastrigin,30,50,1000,374.86131462283635,1.1218364238739014
PSO,Rastrigin,30,50,1000,388.728941389792,1.1549382209777832
PSO,Rastrigin,30,50,1000,346.3630340955897,1.1536214351654053
PSO,Rastrigin,30,50,1000,370.7615356794373,1.1290228366851807
PSO,Rastrigin,50,50,1000,686.7219370025791,1.146507978439331
PSO,Rastrigin,50,50,1000,644.1249949390067,1.1762611865997314
PSO,Rastrigin,50,50,1000,681.1238635030606,1.173027753829956
PSO,Rastrigin,50,50,1000,658.1132349694725,1.147252082824707
PSO,Rastrigin,50,50,1000,658.2399768992314,1.2496631145477295
PSO,Rastrigin,50,50,1000,654.6172563818088,1.1534879207611084
PSO,Rastrigin,50,50,1000,665.9574284849142,1.1828482151031494
PSO,Rastrigin,50,50,1000,685.8161250365753,1.1418921947479248
PSO,Rastrigin,50,50,1000,642.9033140328509,1.1658868789672852
PSO,Rastrigin,50,50,1000,635.3990358664805,1.1488659381866455
PSO,Rastrigin,50,50,1000,663.9865663744863,1.1172804832458496
PSO,Rastrigin,50,50,1000,673.7008425405018,1.1752705574035645
PSO,Rastrigin,50,50,1000,697.6575711366949,1.176506757736206
PSO,Rastrigin,50,50,1000,667.7681350605208,1.160351037979126
